,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9477134,Loss,Training
1,0,8,0,3.4524422,Loss,Validation
2,0,8,0,0.26324138,Accuracy,Training
3,0,8,0,0.27087393,Accuracy,Validation
4,0,8,0,3.7999935,Loss Person,Training
5,0,8,0,3.733464,Loss Person,Validation
6,0,8,0,0.37974682,Accuracy Person,Training
7,0,8,0,0.23509286,Accuracy Person,Validation
8,0,8,0,3.7435133,Loss Bicycle,Training
9,0,8,0,3.4675379,Loss Bicycle,Validation
10,0,8,0,0.51724136,Accuracy Bicycle,Training
11,0,8,0,0.6769231,Accuracy Bicycle,Validation
12,0,8,0,3.7234795,Loss Car,Training
13,0,8,0,3.6581323,Loss Car,Validation
14,0,8,0,0.43037975,Accuracy Car,Training
15,0,8,0,0.41916168,Accuracy Car,Validation
16,0,8,0,4.0686994,Loss Motorcycle,Training
17,0,8,0,3.9181936,Loss Motorcycle,Validation
18,0,8,0,0.08108108,Accuracy Motorcycle,Training
19,0,8,0,0.14655173,Accuracy Motorcycle,Validation
20,0,8,0,4.088456,Loss Airplane,Training
21,0,8,0,3.9784727,Loss Airplane,Validation
22,0,8,0,0.13513513,Accuracy Airplane,Training
23,0,8,0,0.2038835,Accuracy Airplane,Validation
24,0,8,0,4.0657697,Loss Bus,Training
25,0,8,0,3.8358195,Loss Bus,Validation
26,0,8,0,0.09876543,Accuracy Bus,Training
27,0,8,0,0.44047618,Accuracy Bus,Validation
28,0,8,0,3.976816,Loss Train,Training
29,0,8,0,3.816401,Loss Train,Validation
30,0,8,0,0.4027778,Accuracy Train,Training
31,0,8,0,0.6075269,Accuracy Train,Validation
32,0,8,0,3.9257271,Loss Truck,Training
33,0,8,0,3.8803134,Loss Truck,Validation
34,0,8,0,0.25,Accuracy Truck,Training
35,0,8,0,0.09090909,Accuracy Truck,Validation
36,0,8,0,3.9346085,Loss Boat,Training
37,0,8,0,3.8051279,Loss Boat,Validation
38,0,8,0,0.18055555,Accuracy Boat,Training
39,0,8,0,0.30081302,Accuracy Boat,Validation
40,0,8,0,3.9910104,Loss Traffic Light,Training
41,0,8,0,3.8439968,Loss Traffic Light,Validation
42,0,8,0,0.17142858,Accuracy Traffic Light,Training
43,0,8,0,0.2173913,Accuracy Traffic Light,Validation
44,0,8,0,3.9296238,Loss Fire Hydrant,Training
45,0,8,0,3.6322072,Loss Fire Hydrant,Validation
46,0,8,0,0.17460318,Accuracy Fire Hydrant,Training
47,0,8,0,0.2580645,Accuracy Fire Hydrant,Validation
48,0,8,0,3.962405,Loss Stop Sign,Training
49,0,8,0,3.7975657,Loss Stop Sign,Validation
50,0,8,0,0.17777778,Accuracy Stop Sign,Training
51,0,8,0,0.0952381,Accuracy Stop Sign,Validation
52,0,8,0,3.8974156,Loss Parking Meter,Training
53,0,8,0,3.7352502,Loss Parking Meter,Validation
54,0,8,0,0.20833333,Accuracy Parking Meter,Training
55,0,8,0,0.59090906,Accuracy Parking Meter,Validation
56,0,8,0,4.0708575,Loss Bench,Training
57,0,8,0,3.8824887,Loss Bench,Validation
58,0,8,0,0.077922076,Accuracy Bench,Training
59,0,8,0,0.14423077,Accuracy Bench,Validation
60,0,8,0,4.094528,Loss Bird,Training
61,0,8,0,4.039994,Loss Bird,Validation
62,0,8,0,0.12643678,Accuracy Bird,Training
63,0,8,0,0.19480519,Accuracy Bird,Validation
64,0,8,0,3.8524868,Loss Cat,Training
65,0,8,0,3.4639046,Loss Cat,Validation
66,0,8,0,0.375,Accuracy Cat,Training
67,0,8,0,0.6635514,Accuracy Cat,Validation
68,0,8,0,4.165562,Loss Dog,Training
69,0,8,0,3.9308016,Loss Dog,Validation
70,0,8,0,0.116883114,Accuracy Dog,Training
71,0,8,0,0.014492754,Accuracy Dog,Validation
72,0,8,0,3.9200165,Loss Horse,Training
73,0,8,0,3.782459,Loss Horse,Validation
74,0,8,0,0.33766234,Accuracy Horse,Training
75,0,8,0,0.1970803,Accuracy Horse,Validation
76,0,8,0,3.9323387,Loss Sheep,Training
77,0,8,0,3.7828538,Loss Sheep,Validation
78,0,8,0,0.33802816,Accuracy Sheep,Training
79,0,8,0,0.16666667,Accuracy Sheep,Validation
